wind_h2_share,solar_h2_share,gas_ccs_share,wind_h2_demand_mw,solar_h2_demand_mw,gas_ccs_demand_mw,wind_h2_capex_gbp,wind_h2_opex_25y_gbp,solar_h2_capex_gbp,solar_h2_opex_25y_gbp,gas_ccs_capex_gbp,gas_ccs_opex_25y_gbp,total_capex_gbp,total_opex_25y_gbp,total_expenditure_25y_gbp
0.2,0.5,0.30000000000000004,1640.0,4100.0,2460.0000000000005,19201413102.244667,19654951255.154778,120173701171.875,98900019219.40694,4575000000.000001,50908765189.93043,143950114274.11966,169463735664.49213,313413849938.6118
0.2,0.55,0.25,1640.0,4510.0,2050.0,19201413102.244667,19654951255.154778,132191071289.06252,108790021141.34764,3812500000.0,42423970991.60868,155204984391.3072,170868943388.11108,326073927779.4183
0.2,0.6,0.20000000000000007,1640.0,4920.0,1640.0000000000005,19201413102.244667,19654951255.154778,144208441406.25,118680023063.28831,3050000000.000001,33939176793.286957,166459854508.49466,172274151111.73004,338734005620.22473
0.2,0.65,0.15000000000000002,1640.0,5330.0,1230.0000000000002,19201413102.244667,19654951255.154778,156225811523.4375,128570024985.22902,2287500000.0000005,25454382594.965214,177714724625.68216,173679358835.349,351394083461.0311
0.2,0.7,0.10000000000000009,1640.0,5740.0,820.0000000000007,19201413102.244667,19654951255.154778,168243181640.625,138460026907.1697,1525000000.0000014,16969588396.643488,188969594742.86966,175084566558.968,364054161301.83765
0.2,0.75,0.050000000000000044,1640.0,6150.0,410.00000000000034,19201413102.244667,19654951255.154778,180260551757.8125,148350028829.1104,762500000.0000007,8484794198.321744,200224464860.05716,176489774282.58694,376714239142.6441
0.2,0.8,0.0,1640.0,6560.0,0.0,19201413102.244667,19654951255.154778,192277921875.0,158240030751.05112,0.0,0.0,211479334977.24466,177894982006.2059,389374316983.45056
0.25,0.0,0.75,2050.0,0.0,6150.0,24001766377.805832,24568689068.94347,0.0,0.0,11437500000.0,127271912974.82605,35439266377.80583,151840602043.76953,187279868421.57538
0.25,0.05,0.7,2050.0,410.0,5740.0,24001766377.805832,24568689068.94347,12017370117.1875,9890001921.940695,10675000000.0,118787118776.5043,46694136494.99333,153245809767.38846,199939946262.38177
0.25,0.1,0.65,2050.0,820.0,5330.0,24001766377.805832,24568689068.94347,24034740234.375,19780003843.88139,9912500000.0,110302324578.18257,57949006612.18083,154651017491.00745,212600024103.1883
0.25,0.15,0.6,2050.0,1230.0,4920.0,24001766377.805832,24568689068.94347,36052110351.5625,29670005765.82208,9150000000.0,101817530379.86082,69203876729.36833,156056225214.62637,225260101943.9947
0.25,0.2,0.55,2050.0,1640.0,4510.0,24001766377.805832,24568689068.94347,48069480468.75,39560007687.76278,8387500000.000001,93332736181.53911,80458746846.55583,157461432938.24536,237920179784.8012
0.25,0.25,0.5,2050.0,2050.0,4100.0,24001766377.805832,24568689068.94347,60086850585.9375,49450009609.70347,7625000000.0,84847941983.21736,91713616963.74333,158866640661.86432,250580257625.60767
0.25,0.3,0.45,2050.0,2460.0,3690.0,24001766377.805832,24568689068.94347,72104220703.125,59340011531.64416,6862500000.0,76363147784.89563,102968487080.93083,160271848385.48328,263240335466.41412
0.25,0.35,0.4,2050.0,2870.0,3280.0,24001766377.805832,24568689068.94347,84121590820.3125,69230013453.58485,6100000000.0,67878353586.57389,114223357198.11833,161677056109.1022,275900413307.2205
0.25,0.4,0.35,2050.0,3280.0,2870.0,24001766377.805832,24568689068.94347,96138960937.5,79120015375.52556,5337500000.0,59393559388.25215,125478227315.30583,163082263832.7212,288560491148.02704
0.25,0.45,0.3,2050.0,3690.0,2460.0,24001766377.805832,24568689068.94347,108156331054.6875,89010017297.46625,4575000000.0,50908765189.93041,136733097432.49333,164487471556.34012,301220568988.83344
0.25,0.5,0.25,2050.0,4100.0,2050.0,24001766377.805832,24568689068.94347,120173701171.875,98900019219.40694,3812500000.0,42423970991.60868,147987967549.68085,165892679279.95908,313880646829.6399
0.25,0.55,0.19999999999999996,2050.0,4510.0,1639.9999999999995,24001766377.805832,24568689068.94347,132191071289.06252,108790021141.34764,3049999999.9999995,33939176793.286938,159242837666.86835,167297887003.57803,326540724670.4464
0.25,0.6,0.15000000000000002,2050.0,4920.0,1230.0000000000002,24001766377.805832,24568689068.94347,144208441406.25,118680023063.28831,2287500000.0000005,25454382594.965214,170497707784.05585,168703094727.197,339200802511.2528
0.25,0.65,0.09999999999999998,2050.0,5330.0,819.9999999999998,24001766377.805832,24568689068.94347,156225811523.4375,128570024985.22902,1524999999.9999998,16969588396.643469,181752577901.24335,170108302450.81595,351860880352.0593
0.25,0.7,0.050000000000000044,2050.0,5740.0,410.00000000000034,24001766377.805832,24568689068.94347,168243181640.625,138460026907.1697,762500000.0000007,8484794198.321744,193007448018.43085,171513510174.43494,364520958192.8658
0.25,0.75,0.0,2050.0,6150.0,0.0,24001766377.805832,24568689068.94347,180260551757.8125,148350028829.1104,0.0,0.0,204262318135.61835,172918717898.0539,377181036033.67224
0.3,0.0,0.7,2460.0,0.0,5740.0,28802119653.366997,29482426882.732162,0.0,0.0,10675000000.0,118787118776.5043,39477119653.367,148269545659.23645,187746665312.60345
0.3,0.05,0.6499999999999999,2460.0,410.0,5329.999999999999,28802119653.366997,29482426882.732162,12017370117.1875,9890001921.940695,9912499999.999998,110302324578.18256,50731989770.5545,149674753382.8554,200406743153.4099
0.3,0.1,0.6,2460.0,820.0,4920.0,28802119653.366997,29482426882.732162,24034740234.375,19780003843.88139,9150000000.0,101817530379.86082,61986859887.742,151079961106.47437,213066820994.21637
0.3,0.15,0.5499999999999999,2460.0,1230.0,4509.999999999999,28802119653.366997,29482426882.732162,36052110351.5625,29670005765.82208,8387499999.999999,93332736181.5391,73241730004.92949,152485168830.09332,225726898835.02283
0.3,0.2,0.49999999999999994,2460.0,1640.0,4099.999999999999,28802119653.366997,29482426882.732162,48069480468.75,39560007687.76278,7624999999.999998,84847941983.21735,84496600122.117,153890376553.71228,238386976675.82928
0.3,0.25,0.44999999999999996,2460.0,2050.0,3689.9999999999995,28802119653.366997,29482426882.732162,60086850585.9375,49450009609.70347,6862499999.999999,76363147784.89561,95751470239.3045,155295584277.33124,251047054516.63574
0.3,0.3,0.39999999999999997,2460.0,2460.0,3279.9999999999995,28802119653.366997,29482426882.732162,72104220703.125,59340011531.64416,6099999999.999999,67878353586.57388,107006340356.492,156700792000.9502,263707132357.4422
0.3,0.35,0.35,2460.0,2870.0,2870.0,28802119653.366997,29482426882.732162,84121590820.3125,69230013453.58485,5337500000.0,59393559388.25215,118261210473.6795,158105999724.56915,276367210198.24866
0.3,0.4,0.29999999999999993,2460.0,3280.0,2459.9999999999995,28802119653.366997,29482426882.732162,96138960937.5,79120015375.52556,4574999999.999999,50908765189.930405,129516080590.867,159511207448.1881,289027288039.0551
0.3,0.45,0.24999999999999994,2460.0,3690.0,2049.9999999999995,28802119653.366997,29482426882.732162,108156331054.6875,89010017297.46625,3812499999.999999,42423970991.60867,140770950708.0545,160916415171.80707,301687365879.8616
0.3,0.5,0.19999999999999996,2460.0,4100.0,1639.9999999999995,28802119653.366997,29482426882.732162,120173701171.875,98900019219.40694,3049999999.9999995,33939176793.286938,152025820825.242,162321622895.42603,314347443720.668
0.3,0.55,0.1499999999999999,2460.0,4510.0,1229.9999999999993,28802119653.366997,29482426882.732162,132191071289.06252,108790021141.34764,2287499999.9999986,25454382594.965195,163280690942.4295,163726830619.04498,327007521561.4745
0.3,0.6,0.09999999999999998,2460.0,4920.0,819.9999999999998,28802119653.366997,29482426882.732162,144208441406.25,118680023063.28831,1524999999.9999998,16969588396.643469,174535561059.617,165132038342.66394,339667599402.28094
0.3,0.65,0.04999999999999993,2460.0,5330.0,409.99999999999943,28802119653.366997,29482426882.732162,156225811523.4375,128570024985.22902,762499999.9999989,8484794198.321725,185790431176.8045,166537246066.2829,352327677243.0874
0.3,0.7,0.0,2460.0,5740.0,0.0,28802119653.366997,29482426882.732162,168243181640.625,138460026907.1697,0.0,0.0,197045301293.992,167942453789.90186,364987755083.89386
0.35,0.0,0.65,2870.0,0.0,5330.0,33602472928.92816,34396164696.52086,0.0,0.0,9912500000.0,110302324578.18257,43514972928.92816,144698489274.70343,188213462203.6316
0.35,0.05,0.6,2870.0,410.0,4920.0,33602472928.92816,34396164696.52086,12017370117.1875,9890001921.940695,9150000000.0,101817530379.86082,54769843046.11566,146103696998.3224,200873540044.43805
0.35,0.1,0.55,2870.0,820.0,4510.0,33602472928.92816,34396164696.52086,24034740234.375,19780003843.88139,8387500000.000001,93332736181.53911,66024713163.30316,147508904721.94135,213533617885.2445
